"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "Au_4h_D238_4" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "PEG_4h_D238_8" "Au_24h_D240_9" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_14" "PEG_24h_D240_15" "PEG_24h_D240_16"
"CL43" 5 NA 5 NA NA 1 4 NA 5 NA NA NA 5 NA 7 2
"MYH10" 16 15 12 NA NA NA 4 NA 5 NA NA NA NA NA 10 4
"LBP" 4 4 4 NA NA NA 2 NA 3 NA NA 1 1 NA 1 4
"eZR" 9 7 5 NA NA NA 6 NA 5 NA 2 NA 6 NA NA NA
"COMP" 7 4 9 3 NA NA 2 NA 2 NA NA 1 NA 2 4 NA
"GSTP1" 5 3 5 NA NA NA 5 NA 3 NA NA NA NA NA 5 NA
"LGALS3BP" NA NA NA NA NA NA 3 NA 2 NA 3 NA NA NA 9 2
"AKR1A1" 5 8 6 NA NA NA 1 NA 6 NA NA NA NA NA 1 NA
"RAN" 5 13 11 NA NA 4 NA NA 8 NA NA NA NA 1 7 NA
"CRYZ" NA NA NA 2 12 1 NA NA 4 NA NA 2 NA 1 NA NA
"IGFBP1" 7 6 7 NA NA NA NA NA 6 NA NA NA NA NA NA NA
"SeRPINA6" 5 3 4 1 NA NA 4 NA 4 NA 2 NA 3 NA 6 2
"MST1" 16 13 13 NA 1 NA 2 NA 14 2 3 NA NA NA 2 1
"H2AJ" 5 2 6 NA 1 NA 4 NA 3 1 1 3 NA 1 NA 1
"GPX3" 3 NA NA NA NA NA 2 NA 6 NA NA NA NA NA 7 NA
"TUBB2B" 19 NA NA NA NA 30 NA NA 20 NA NA 1 NA 6 40 NA
"PHGDH" 2 3 3 NA NA NA 1 NA 3 NA NA NA NA NA 1 NA
"CTSV" 19 22 20 NA NA NA 1 NA 20 1 2 NA NA NA 1 NA
"C1QB" 10 18 12 NA NA NA 2 NA 13 2 1 NA NA NA 3 NA
"YWHAG" NA 7 4 NA NA NA 5 NA 5 NA NA NA NA NA NA 5
"GNAO1" 2 NA NA NA NA NA 2 NA 3 NA NA NA NA NA NA NA
"CCN2" NA NA 3 NA NA NA 2 NA 4 NA NA NA NA NA NA NA
"RPS10" 1 NA 1 NA NA 1 NA NA 2 NA NA NA NA NA NA NA
