"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"KRT7" 0 0 8 16 10 7 18 10 16 16 20 10 11 7 27 9 12 22 17 22 28 13 17 19 17 5 0 0 0 23 10 5 14 16 0 0 8 40 15 10 13 12 24 21 23 15 11 11 15 12 10 20 0 0 10 12 13 12 9 20 75 19 12 23 11 15 25 14 11
"SeRPINA3-2" 0 0 112 55 57 114 14 0 84 28 34 65 20 50 51 26 12 85 14 13 72 14 12 52 19 13 0 0 132 39 47 115 44 43 0 0 97 38 75 101 51 65 74 38 25 77 35 33 51 22 24 31 0 0 136 35 32 134 36 46 70 76 62 57 33 23 31 57 63
"FGA" 0 0 19 25 26 19 3 0 12 17 22 14 9 26 37 13 0 8 5 6 25 4 6 0 6 1 0 0 21 31 34 23 21 31 0 0 20 11 33 24 24 32 19 14 19 13 26 16 19 10 10 14 0 0 34 16 9 31 11 23 4 14 19 3 14 8 2 34 40
"SeRPINA3-7" 0 0 56 37 38 56 13 6 61 18 24 33 8 30 49 16 5 59 13 14 56 11 17 30 12 12 0 0 63 25 27 44 24 22 0 0 50 12 38 47 33 33 58 25 23 46 29 28 43 19 20 20 0 0 66 21 16 73 15 25 46 40 43 27 24 19 17 38 46
"KNG2" 0 0 25 44 41 23 22 12 46 42 40 30 16 30 55 25 0 38 14 19 41 17 14 2 22 8 0 0 36 35 30 18 39 34 0 0 22 11 46 20 38 50 60 56 51 52 47 57 48 47 51 36 0 0 29 40 26 25 34 52 36 33 29 11 41 26 25 43 47
"LUM" 0 0 19 26 29 22 2 4 21 16 18 15 10 28 25 16 8 17 8 5 25 3 5 8 5 0 0 0 25 24 22 17 18 23 0 0 15 10 32 19 19 30 22 11 14 20 12 16 24 11 12 11 0 0 33 9 8 30 11 12 12 16 16 10 16 9 3 31 30
"HRG" 0 0 4 10 8 5 6 10 9 9 11 14 7 5 11 6 6 8 0 0 11 0 0 0 0 0 0 0 4 7 7 7 10 8 0 0 4 2 6 5 5 6 8 3 3 7 3 3 10 4 4 7 0 0 6 11 13 6 8 11 15 5 4 3 6 7 4 6 6
"VNN1" 0 0 24 20 16 25 0 0 24 10 12 17 0 14 16 3 0 18 1 6 33 5 3 3 1 0 0 0 31 14 18 22 13 15 0 0 24 9 20 19 18 26 18 11 11 15 18 16 11 10 9 7 0 0 30 5 8 28 5 15 13 19 13 7 11 4 1 21 24
"TGFBI" 0 0 23 5 5 22 0 0 15 14 18 6 0 4 31 0 0 4 15 15 29 0 9 6 2 0 0 0 29 5 8 29 4 8 0 0 27 4 10 24 5 12 12 9 21 17 15 19 17 6 6 6 0 0 35 2 3 30 6 16 5 8 11 4 15 6 3 10 9
"HBBF" 0 0 69 76 66 67 45 44 28 51 60 57 43 82 93 59 33 35 39 46 88 59 80 42 79 214 0 0 98 80 83 74 60 72 0 0 66 40 85 86 74 77 59 46 40 41 42 46 39 23 20 52 0 0 99 53 41 95 52 61 46 57 62 45 55 50 51 85 73
"APOA1" 0 0 64 114 108 73 44 34 112 84 105 107 51 93 120 69 38 119 103 99 91 85 127 16 127 273 0 0 76 102 99 59 102 106 0 0 73 60 106 91 84 96 129 93 115 100 146 111 68 65 54 72 0 0 127 84 55 96 84 110 97 129 141 85 96 76 123 137 128
"C3" 0 0 442 299 311 452 105 80 258 168 187 233 178 313 501 197 85 244 89 88 424 77 93 194 105 9 0 0 527 275 335 517 224 272 0 0 424 168 376 425 316 375 272 135 155 245 155 147 311 131 115 141 0 0 551 142 147 527 148 190 194 234 229 116 174 131 61 317 335
"HBA" 0 0 40 56 46 56 27 20 27 32 31 46 28 46 49 27 27 40 17 29 62 29 58 49 45 135 0 0 74 48 53 44 33 40 0 0 49 22 58 52 52 53 39 32 23 23 35 27 27 15 16 26 0 0 86 37 32 80 35 41 37 38 36 31 29 36 41 58 60
"TF" 0 0 338 299 306 384 105 80 291 140 173 190 100 157 172 103 64 298 84 77 226 80 85 53 97 92 0 0 388 213 221 449 271 269 0 0 338 129 273 364 237 296 248 163 146 210 193 176 126 136 140 130 0 0 274 125 125 265 137 191 190 179 150 136 144 137 144 275 285
"AGT" 0 0 101 89 92 112 19 12 97 38 47 70 53 83 173 48 14 81 18 21 155 17 20 104 28 2 0 0 128 76 97 105 58 66 0 0 102 58 110 90 96 100 82 49 40 85 44 41 137 39 43 42 0 0 120 44 43 130 46 43 61 75 64 34 41 26 23 93 101
"ALB" 0 0 969 724 773 1033 285 201 953 446 530 470 317 588 676 346 293 807 233 250 718 214 293 372 264 814 0 0 1188 629 694 1325 664 709 0 0 966 389 885 960 772 929 825 508 496 703 652 595 436 392 421 418 0 0 1214 424 438 1357 455 557 477 473 430 613 436 409 593 917 1031
"F12AI" 0 0 48 30 35 52 3 3 46 40 47 40 19 35 42 17 0 31 16 21 41 12 19 18 23 8 0 0 52 28 32 44 16 27 0 0 55 20 47 38 33 43 51 38 38 63 41 39 57 27 29 25 0 0 52 34 29 54 43 39 42 40 32 35 26 18 39 39 45
"SeRPINA3-5" 0 0 65 44 41 71 16 11 57 23 33 43 0 35 35 23 10 56 14 14 43 14 11 0 17 13 0 0 65 30 34 56 35 36 0 0 59 0 50 55 42 43 53 35 28 50 33 31 33 23 24 26 0 0 71 28 20 75 27 42 47 59 49 33 30 25 18 42 51
"C9" 0 0 24 18 22 19 0 0 13 6 12 12 9 19 35 9 2 13 0 0 28 0 0 5 0 0 0 0 23 18 17 20 13 16 0 0 25 5 17 22 15 17 11 12 12 10 15 12 22 8 9 9 0 0 30 0 4 23 4 12 8 13 16 4 12 7 1 20 26
