"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"DDBX" 0 0 8 10 10 6 5 6 2 0 8 5 1 7 11 6 0 2 0 0 0 0 0 0 0 0 0 0 18 12 14 12 10 11 0 0 7 4 7 11 10 7 3 0 0 3 0 0 4 0 0 0 0 0 15 0 0 12 3 3 0 0 0 0 0 0 0 10 9
"P16402" 3 4 0 4 6 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 7 0 4 0 0 6 5 0 6 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0
"CD44" 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 3
"P11021" 4 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 18 12 8 0 16 4 4 0 38 0 4 0 6 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 8 0 0 0 0 0 0 0 0 0 0 0
"P06733" 12 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 31 24 21 23 20 23 17 15 17 64 21 0 0 19 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0
"Q3SWY2" 0 0 9 11 7 13 6 3 0 0 6 8 0 8 8 6 0 0 0 0 0 0 0 0 0 0 0 0 24 18 13 21 9 13 0 0 12 0 14 11 9 10 0 0 0 0 0 0 5 0 0 0 0 0 6 0 0 10 0 4 0 0 0 0 0 0 0 10 10
"P01023" 43 43 46 45 48 49 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 23 51 43 44 47 0 44 52 62 47 68 48 0 55 52 0 0 0 0 0 0 0 0 0 0 13 12 53 28 377 61 209 76 0 0 0 0 0 0 0 0 0
"ARHGDIA" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 0 0 0 0 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 3
"IGHV4-39" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"P06396" 20 20 41 0 32 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 13 49 38 41 34 22 33 33 37 46 21 37 41 35 43 0 0 0 0 0 0 0 0 0 0 9 6 52 21 55 53 33 0 0 0 0 0 0 0 0 0 0
"COL3A1" 0 1 2 6 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 3 5 5 3 6 0 0 4 0 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0
"IGLC3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 7 36 0 0 14 0 0 0 0 0 0 0 0 0
"CNTN1" 0 0 7 4 7 8 0 0 3 0 0 0 0 8 10 0 0 0 0 0 4 0 0 0 0 0 0 0 11 8 5 10 2 8 0 0 7 0 6 9 5 4 5 0 0 0 0 0 1 0 0 0 0 0 16 0 0 8 0 0 0 0 0 0 0 0 0 15 12
"CTNNB1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 15 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 0
"ORM2" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 24 0 18 6 0 0 0 0 0 0 0 0 0
"P02675" 0 2 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 8 7 0 7 6 9 7 0 19 5 0 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"PZP" 22 25 38 0 35 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 9 48 29 32 0 24 28 33 43 0 30 0 33 0 37 0 0 0 0 0 0 0 0 0 0 7 7 38 0 60 41 40 22 0 0 0 0 0 0 0 0 0
"O60814" 0 0 4 0 2 2 7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 4 7 5 3 6 4 3 0 2 13 0 3 2 4 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 4 4 3 0 0 0 0 0 0 0 0 0
"P08697" 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 4 0 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 22 0 6 0 0 0 0 0 0 0 0 0 0
"P05452" 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 10 0 0 0 0 8 7 8 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 12 0 0 10 0 9 0 0 0 0 0 0 0 0 0 0
"PSMB1" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 2 2
"PGM1" 0 0 5 0 4 7 0 0 0 0 0 0 0 5 4 0 0 0 0 0 3 0 0 0 0 0 0 0 9 4 8 7 3 4 0 0 4 2 2 5 0 4 0 0 0 0 0 0 4 0 0 0 0 0 3 0 0 5 0 0 0 0 0 0 0 0 0 5 3
"C1QB" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 2 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 2 1
"MMP2" 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 7 0 0 0 0 0 0 0 0 0 2 4
"SePTIN7" 0 0 0 0 3 0 0 0 0 0 4 0 0 7 2 0 0 0 0 0 3 0 0 0 0 0 0 0 8 7 5 11 0 4 0 0 0 10 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 7 0 0 0 0 0 0 0 0 0 7 9
"P02774" 10 8 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 7 0 0 0 0 17 0 15 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 84 0 48 18 0 0 0 0 0 0 0 0 0
"P02765" 15 16 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 15 0 0 0 0 0 37 36 30 0 0 24 0 0 30 0 0 0 0 0 0 0 0 0 0 11 9 0 0 50 0 39 30 0 0 0 0 0 0 0 0 0
"HBG1" 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 9 8 0 0 7 7 5 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P04272" 0 0 3 5 2 0 6 10 6 2 4 4 0 0 9 0 0 0 8 9 0 4 10 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 4 8 12 0 9 7 1 7 3 4 0 0 0 7 5 0 0 5 23 0 0 0 0 0 0 0 0
"P04196" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 15 0 0 0 0 0 0 0 0 0 0
"TLR9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CALD1" 0 0 0 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 2 1 1 1 1 2 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"PWWP3A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GDF6" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3
"BPT2" 0 0 0 0 0 0 0 0 0 5 3 0 0 0 1 0 0 0 4 4 0 3 5 0 4 0 0 0 0 2 2 0 3 2 0 0 0 0 2 0 0 2 0 4 3 0 2 3 0 0 0 0 0 0 0 4 0 0 3 4 0 0 0 0 5 0 0 1 0
"PSMB3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 2 0 0 0 0 0 0 0 0
"P07737" 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 6 7 6 4 0 0 2 4 0 11 0 0 0 6 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ANXA5" 0 0 0 0 0 0 0 0 1 2 5 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 20 15 16 10 4 8 0 0 0 3 0 0 3 0 5 5 7 6 6 4 4 5 1 0 0 0 0 6 0 0 0 5 0 0 0 0 2 0 0 0 0
"P62736" 19 20 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 34 0 0 25 30 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGF2R" 0 0 9 20 18 10 0 0 0 0 7 0 0 20 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 13 11 11 11 13 0 0 6 0 7 11 16 12 0 0 0 0 0 8 0 0 0 0 0 0 14 0 0 13 0 2 0 0 0 0 0 0 0 22 18
"RAB11A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 5 0 0 0 0 3 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3
"P61284" 0 0 0 0 0 0 4 3 0 1 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0
"OXR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GOLGA4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H1-10" 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HBG2" 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 9 8 0 0 7 7 5 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"P63267" 19 20 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 34 0 0 25 30 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q14240" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LASP1" 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 0 0 4 4 0 3 4 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 15 0 6 4 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGLC7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
"CeP41" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"TSPAN8" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"GTF2e2" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"CATHL6" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGFBP4" 0 0 0 0 0 0 0 0 0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 13 4 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"HSPA6" 0 7 6 10 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 9 9 14 5 9 11 8 16 0 12 10 4 7 13 0 0 0 0 0 0 0 0 0 0 0 3 9 8 5 7 0 0 0 0 0 0 0 0 0 0 0
"eNO2" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 3 0 0 2 0 0 0 0 0 0 0 0 0
"ATIC" 0 0 4 4 9 0 0 0 0 0 0 0 0 9 6 0 0 0 0 0 7 0 0 0 0 0 0 0 14 11 7 20 9 14 0 0 6 0 6 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 8 0 0 0 0 0 0 0 0 0 8 11
"MAPRe2" 0 0 7 0 6 8 0 0 0 0 0 1 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 7 8 3 4 0 0 8 2 10 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 6 7
"TUBA4B" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"PTX3" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 3 5
"PFKL" 0 0 6 0 0 5 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 18 4 8 15 0 2 0 0 3 5 5 3 3 5 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 8 0 0 0 0 0 0 0 0 0 4 4
"Q0VCM4" 0 0 10 5 8 18 0 0 0 0 0 3 0 17 10 0 0 0 0 0 8 0 0 0 0 0 0 0 31 24 22 24 11 16 0 0 11 8 16 12 8 15 0 0 0 0 0 0 4 0 0 0 0 0 20 0 0 13 0 0 0 0 0 0 0 0 0 19 22
"ANXA2P2" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0
"MYH3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PPIB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 4 0 0 0 0 0 0 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Q14533" 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 12 0 12 0 0 8 9 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 3 0 36 0 0 0 0 0 0 0 0 0 0 0
"CALML5" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"POTee" 0 0 25 23 19 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 16 24 22 18 18 18 17 28 51 28 23 16 26 0 0 0 0 0 0 0 0 0 0 0 0 29 14 10 36 0 12 0 0 0 0 0 0 0 0 0
"FRMD4B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGLC6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ARFIP2" 0 0 0 0 0 0 0 0 3 0 3 0 2 0 3 3 0 3 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
"PSMA2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 2 0 0 0 0 2 11 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"LeCT2" 0 0 0 0 0 0 2 2 0 0 3 0 0 0 0 0 0 0 4 0 0 3 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 2 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"BSG" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 2 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PTGR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 5 0 0 0 0 0 2 0 2 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 2 0
"eSD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"IGLV7-46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0
"HP" 0 0 0 0 0 0 0 0 0 18 16 0 31 11 0 24 23 0 0 0 0 0 0 0 0 0 0 0 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 4 0 9 0 0 0 0 0 0 0 2 6
"FBP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 13 0 0 0 0 0 2 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"HNRNPF" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KRT85" 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 32 37 0 0 0 0 0 0 0 0 0 0 0
"AKR1A1" 0 0 3 7 8 3 0 0 0 0 0 2 0 5 9 0 0 0 0 0 0 0 0 0 0 0 0 0 11 10 16 4 8 8 0 0 0 2 0 4 3 8 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 5 8
"RAB39B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IGKV1-17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 5 0 0 0 0 0 0 0 0 0 0
"CSNK1D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"PLCG1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CCT6B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0
"P18428" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 4 0 0 0 0 0 0 0 0 0 0
"IGHV2-70D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 0 0 0 0 0 0 0 0 0
