"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "Fill_short" "Color_short" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Pd_24h_4" "Pd_24h_4" "Pd_24h_4" "NO" "NO" "NO" "NO" "Yes" "NO" "NO" 4 "24h" "Pd" "Pd_Evs_NO_24h" "yellow" "yellow" "Pd_Evs_NO" "cornflowerblue" "cornflowerblue" 17.5164854329999 -6.9683702565877 -3.00511072900081 1.44487765975513 -1.78456484871963 -1.70627372709085
"Evs_Pt_Control_2" "Evs_Pt_Control_2" "Evs_Pt_Control_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "Yes" 2 "5min" "Pt" "Pt_Evs_Yes_5min" "white" "sienna" "Pt_Evs_Yes" "white" "firebrick3" -42.8192667046949 -17.0838029105272 5.34814500858748 7.22157468857631 0.345343936587542 -1.07895416518823
"Evs_Pt_Control_3" "Evs_Pt_Control_3" "Evs_Pt_Control_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "Yes" 3 "5min" "Pt" "Pt_Evs_Yes_5min" "white" "sienna" "Pt_Evs_Yes" "white" "firebrick3" -42.1505929007986 -17.1610054630453 5.41709705817157 7.54416400395605 0.951331810660719 -1.5857788115816
"Evs_Pt_4h_1" "Evs_Pt_4h_1" "Evs_Pt_4h_1" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "sienna" "Pt_Evs_Yes" "white" "darkturquoise" -5.29201302809758 18.5422479780532 1.33337978050201 -2.28493276822419 -1.00464249843586 0.605770259300386
"Evs_Pt_4h_2" "Evs_Pt_4h_2" "Evs_Pt_4h_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "sienna" "Pt_Evs_Yes" "white" "darkturquoise" -11.0314655470313 2.91033787785702 -14.8276848261227 3.81845891570649 -2.56800250930959 -2.32517920571979
"Evs_Pt_4h_3" "Evs_Pt_4h_3" "Evs_Pt_4h_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "4h" "Pt" "Pt_Evs_Yes_4h" "white" "sienna" "Pt_Evs_Yes" "white" "darkturquoise" -16.5821737810888 -0.421437225640304 -9.33578510084773 -0.357810816975395 -19.065068885747 -0.233054353713552
"Evs_Pt_24h_1" "Evs_Pt_24h_1" "Evs_Pt_24h_1" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "sienna" "Pt_Evs_Yes" "white" "deeppink" -6.80753281046834 17.1480570430204 1.16425090536388 -1.85379720897316 -2.43304092858018 0.115959069628821
"Evs_Pt_24h_2" "Evs_Pt_24h_2" "Evs_Pt_24h_2" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "sienna" "Pt_Evs_Yes" "white" "deeppink" -13.2379977562689 0.855591831551952 -9.81346949818421 1.65865308141047 -20.2629874057277 -0.193782784631577
"Evs_Pt_24h_3" "Evs_Pt_24h_3" "Evs_Pt_24h_3" "Yes" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "24h" "Pt" "Pt_Evs_Yes_24h" "white" "sienna" "Pt_Evs_Yes" "white" "deeppink" -12.1095427866529 1.64593476545206 -13.6731636450716 2.88873169233125 -5.9939233994066 -4.02973973019095
"Pt_5min_1" "Pt_5_min_1" "Pt_5min_1" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 1 "5min" "Pt" "Pt_Evs_NO_5min" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "greenyellow" "greenyellow" 16.4584829736905 -5.54684357579619 2.59370420666913 -2.38413416787438 5.31814168890392 0.463110320081423
"Pt_5min_2" "Pt_5_min_2" "Pt_5min_2" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 2 "5min" "Pt" "Pt_Evs_NO_5min" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "greenyellow" "greenyellow" 18.1910913552739 -1.07982350146932 4.85808650245737 6.00139913844871 -1.73256725586048 2.33862417430845
"Pt_5min_3" "Pt_5_min_3" "Pt_5min_3" "NO" "NO" "NO" "NO" "NO" "Yes" "Yes" 3 "5min" "Pt" "Pt_Evs_NO_5min" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "greenyellow" "greenyellow" 17.6174942927562 -2.02746660146345 2.95957495106509 5.76653606006431 -1.97416714201697 1.0593475494201
"Pt_4h_1" "Pt_4h_1" "Pt_4h_1" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "4h" "Pt" "Pt_Evs_NO_4h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "hotpink" "hotpink" 10.6940611224057 -1.9879743726393 2.29464078178576 -0.764793505611545 -2.23527156731344 8.44451857966434
"Pt_4h_2" "Pt_4h_2" "Pt_4h_2" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "4h" "Pt" "Pt_Evs_NO_4h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "hotpink" "hotpink" 17.4123956874108 -5.59115148794073 -1.14452394061227 2.37039128636075 -1.61563622196783 -2.1391036389478
"Pt_4h_3" "Pt_4h_3" "Pt_4h_3" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "4h" "Pt" "Pt_Evs_NO_4h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "hotpink" "hotpink" 15.9331960960621 -7.48275414041301 -4.38120660493325 2.73121917528171 -1.94586875137651 1.27088997604373
"Pt_24h_1" "Pt_24h_1" "Pt_24h_1" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 1 "24h" "Pt" "Pt_Evs_NO_24h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "purple4" "purple4" 8.8462053940918 -7.39931647255057 1.51740327917696 -3.55974375691452 -1.81418144807659 8.83660088367901
"Pt_24h_2" "Pt_24h_2" "Pt_24h_2" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 2 "24h" "Pt" "Pt_Evs_NO_24h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "purple4" "purple4" 17.8404431710573 4.91411380344634 8.65248176636237 8.71842803105684 0.612940735178175 -0.145891592373441
"Pt_24h_3" "Pt_24h_3" "Pt_24h_3" "NO" "NO" "NO" "NO" "NO" "Yes" "NO" 3 "24h" "Pt" "Pt_Evs_NO_24h" "palevioletred1" "palevioletred1" "Pt_Evs_NO" "purple4" "purple4" 18.2509248700967 4.99778773992609 8.45731732993592 8.17024016134463 1.45043932930175 -0.0407886238131724
